epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,122.533,1.6522,1.57624,1.67579,0.00306,0.18519,0.00351,0.00136,4.79782,4.70432,5.96526,0.000345246,0.000345246,0.000345246
42,124.562,1.36619,1.32585,1.59832,0.00306,0.18519,0.00351,0.00136,4.79782,4.70432,5.96526,0.000348077,0.000348077,0.000348077
43,126.729,1.58133,1.44721,1.76707,0.00204,0.14815,0.00156,0.00039,4.9426,4.61105,6.44507,0.000350625,0.000350625,0.000350625
44,128.744,1.51262,1.25516,1.76881,0.00204,0.14815,0.00156,0.00039,4.9426,4.61105,6.44507,0.00035289,0.00035289,0.00035289
45,130.65,1.39459,1.25489,1.63031,0.00343,0.22222,0.00297,0.00129,4.5415,4.00026,4.80142,0.000354872,0.000354872,0.000354872
46,132.754,1.29911,1.20353,1.59946,0.00343,0.22222,0.00297,0.00129,4.5415,4.00026,4.80142,0.000356571,0.000356571,0.000356571
47,134.746,1.38757,1.3449,1.73806,0.00704,0.44444,0.00903,0.00342,3.98231,8.55701,4.49877,0.000357987,0.000357987,0.000357987
48,137.824,1.54596,1.27104,1.75053,0.00704,0.44444,0.00903,0.00342,3.98231,8.55701,4.49877,0.000359121,0.000359121,0.000359121
49,140.935,1.41249,1.11356,1.59779,0.01447,0.11111,0.01667,0.0075,3.91829,24.1984,4.54717,0.000359971,0.000359971,0.000359971
50,143.9,1.29,1.11488,1.55057,0.01447,0.11111,0.01667,0.0075,3.91829,24.1984,4.54717,0.000360538,0.000360538,0.000360538
51,145.776,1.54262,1.29049,1.80646,0.46009,0.07407,0.05303,0.02174,3.6349,18.6872,4.74615,0.000360822,0.000360822,0.000360822
52,148.941,1.35451,1.12829,1.47878,0.46009,0.07407,0.05303,0.02174,3.6349,18.6872,4.74615,0.000360824,0.000360824,0.000360824
53,151.284,1.43952,1.14347,1.68472,0.46009,0.07407,0.05303,0.02174,3.6349,18.6872,4.74615,0.000360542,0.000360542,0.000360542
54,154.327,1.40343,1.19386,1.64236,0.34681,0.32363,0.22108,0.0715,3.46242,3.05204,4.98688,0.000359978,0.000359978,0.000359978
55,157.487,1.26734,1.12585,1.5015,0.34681,0.32363,0.22108,0.0715,3.46242,3.05204,4.98688,0.000359131,0.000359131,0.000359131
56,159.866,1.2349,1.12755,1.49017,0.34681,0.32363,0.22108,0.0715,3.46242,3.05204,4.98688,0.000358,0.000358,0.000358
57,162.203,1.24323,1.07677,1.59217,0.68714,0.32793,0.26425,0.09177,3.53556,2.96226,5.29809,0.000356587,0.000356587,0.000356587
58,164.299,1.31289,1.1455,1.66876,0.68714,0.32793,0.26425,0.09177,3.53556,2.96226,5.29809,0.000354891,0.000354891,0.000354891
59,167.243,1.26534,1.06476,1.56341,0.68714,0.32793,0.26425,0.09177,3.53556,2.96226,5.29809,0.000352912,0.000352912,0.000352912
60,169.343,1.20457,1.04204,1.47939,0.32652,0.44366,0.28515,0.09706,3.42852,2.7849,5.0492,0.000350649,0.000350649,0.000350649
61,172.836,1.1331,0.94391,1.43714,0.32652,0.44366,0.28515,0.09706,3.42852,2.7849,5.0492,0.000348104,0.000348104,0.000348104
62,175.094,1.29598,1.19681,1.56935,0.32652,0.44366,0.28515,0.09706,3.42852,2.7849,5.0492,0.000345276,0.000345276,0.000345276
63,178.892,1.14639,0.92172,1.35862,0.2363,0.40741,0.23232,0.071,3.60533,2.68428,4.91785,0.000342165,0.000342165,0.000342165
64,182.011,1.38191,1.09609,1.57957,0.2363,0.40741,0.23232,0.071,3.60533,2.68428,4.91785,0.000338772,0.000338772,0.000338772
65,185.579,1.07367,0.8581,1.34384,0.2363,0.40741,0.23232,0.071,3.60533,2.68428,4.91785,0.000335095,0.000335095,0.000335095
66,187.709,1.20643,1.12279,1.40955,0.32628,0.48148,0.35346,0.12409,3.49994,2.49672,4.87252,0.000331135,0.000331135,0.000331135
67,189.93,1.19737,0.99308,1.54864,0.32628,0.48148,0.35346,0.12409,3.49994,2.49672,4.87252,0.000326892,0.000326892,0.000326892
68,193.528,1.13887,0.94762,1.39625,0.32628,0.48148,0.35346,0.12409,3.49994,2.49672,4.87252,0.000322367,0.000322367,0.000322367
69,195.732,1.06024,0.86316,1.32059,0.67554,0.59533,0.60673,0.20893,3.42843,2.48401,4.50395,0.000317558,0.000317558,0.000317558
70,199.421,1.01727,0.86459,1.23443,0.67554,0.59533,0.60673,0.20893,3.42843,2.48401,4.50395,0.000312467,0.000312467,0.000312467
71,202.574,1.02668,0.89757,1.33985,0.67554,0.59533,0.60673,0.20893,3.42843,2.48401,4.50395,0.000307092,0.000307092,0.000307092
